ATCXW,30-Oct-2020,0.935,0.96,0.935,0.94,20000
ATEC,30-Oct-2020,8.87,9.11,8.38,8.54,773600
ATEX,30-Oct-2020,31.8,32.275,31.0001,31.92,101600
ATHA,30-Oct-2020,18.89,19.46,18.06,18.06,151800
ATHE,30-Oct-2020,1.42,1.42,1.23,1.24,174500
ATHX,30-Oct-2020,1.8,1.8,1.68,1.75,1975300
ATIF,30-Oct-2020,1.29,1.395,1.26,1.33,826800
ATLC,30-Oct-2020,11.52,11.74,11.2,11.45,6600
ATLO,30-Oct-2020,18.89,19.36,18.82,19.3,18300
ATNI,30-Oct-2020,49.64,49.64,44.5,44.7,70900
ATNX,30-Oct-2020,11.39,11.5639,11.11,11.4,419900
ATOM,30-Oct-2020,9.1,9.225,7.97,8.15,558700
ATOS,30-Oct-2020,1.56,1.6,1.46,1.49,117900
ATRA,30-Oct-2020,13.48,13.73,12.66,12.91,471400
ATRC,30-Oct-2020,35.5,36.15,34.04,34.56,260500
ATRI,30-Oct-2020,607.83,611.46,600.005,601.15,6300
ATRO,30-Oct-2020,6.92,7.15,6.2993,6.4,395500
ATRS,30-Oct-2020,2.77,2.7912,2.7,2.73,1118600
ATSG,30-Oct-2020,28.75,29.27,27.6,28.04,1117000
ATVI,30-Oct-2020,77.45,78.28,74.37,75.73,11979400
ATXI,30-Oct-2020,3.19,3.2,3.02,3.14,153500
AUB,30-Oct-2020,24.9,25.46,24.87,25.29,218700
AUBAP,30-Oct-2020,26.68,26.69,26.54,26.67,20000
AUBN,30-Oct-2020,37.4,37.98,37.16,37.16,1900
AUDC,30-Oct-2020,28.9,29.46,28.28,28.99,292500
AUPH,30-Oct-2020,15.99,16.05,15.5,15.68,617200
AUTL,30-Oct-2020,11.1719,11.3673,10.79,10.81,43000
AUTO,30-Oct-2020,3.495,3.495,3.07,3.09,164200
AUVI,30-Oct-2020,6.99,6.99,6.43,6.46,216500
AVAV,30-Oct-2020,75.95,77.04,74.74,76.36,131100
AVCO,30-Oct-2020,1.15,1.15,1.11,1.12,79300
AVCT,30-Oct-2020,3.92,3.95,3.65,3.9,40300
AVCTW,30-Oct-2020,0.2601,0.2701,0.25,0.2539,17400
AVDL,30-Oct-2020,5.21,5.21,4.95,5.04,489100
AVEO,30-Oct-2020,5.56,5.6,5.26,5.43,225000
AVGO,30-Oct-2020,349.39,352.99,344.42,349.63,1853000
AVGOP,30-Oct-2020,1183.74,1189.99,1176.42,1189.99,11400
AVGR,30-Oct-2020,0.25,0.2501,0.235,0.2374,2551200
AVID,30-Oct-2020,9.31,9.6903,8.982,9.32,891400
AVIR,30-Oct-2020,27.02,32.42,27.02,30.34,3575800
AVNW,30-Oct-2020,20.62,21.475,18.51,18.51,68200
AVO,30-Oct-2020,13.29,13.46,13.15,13.19,163200
AVRO,30-Oct-2020,14.77,15.1399,14.07,14.28,264200
AVT,30-Oct-2020,24.51,24.96,24.3,24.67,811100
AVXL,30-Oct-2020,5.97,6.03,5.71,5.9,915200
AWH,30-Oct-2020,3.68,3.78,3.42,3.77,532600
AWRE,30-Oct-2020,2.63,2.8,2.54,2.64,152800
AXAS,30-Oct-2020,1.46,1.81,1.4499,1.63,3038800
AXDX,30-Oct-2020,9.48,9.6436,9.25,9.42,135800
AXGN,30-Oct-2020,12.96,12.96,12.05,12.61,543100
AXGT,30-Oct-2020,2.6,2.6,2.02,2.13,7458800
AXLA,30-Oct-2020,4.545,4.545,4.2,4.24,79800
AXNX,30-Oct-2020,48.6,48.73,45.622,46.89,472200
AXSM,30-Oct-2020,67.21,68.19,65.32,66.31,344500
AXTI,30-Oct-2020,6.04,6.06,5.81,5.95,405500
AY,30-Oct-2020,29.6,29.89,29.22,29.49,493900
AYLA,30-Oct-2020,12.19,12.8,11.39,11.39,2000
AYRO,30-Oct-2020,2.65,2.66,2.48,2.52,406100
AYTU,30-Oct-2020,0.95,0.975,0.9125,0.9503,1830500
AZN,30-Oct-2020,50.92,51.195,49.79,50.16,4764600
AZPN,30-Oct-2020,110.79,114.98,108.15,109.81,709500
AZRX,30-Oct-2020,0.748,0.766,0.7087,0.727,132400
AZYO,30-Oct-2020,10.67,10.98,10.64,10.98,6500
BAND,30-Oct-2020,166.99,171.975,159.89,160.355,820700
BANF,30-Oct-2020,43.94,44.86,43.94,44.45,64200
BANFP,30-Oct-2020,27.56,27.56,27.56,27.56,600
BANR,30-Oct-2020,36.55,37.28,34.44,36.87,181500
BANX,30-Oct-2020,18.54,18.8414,18.54,18.83,7400
BASI,30-Oct-2020,5.05,5.05,4.9125,4.98,6400
BATRA,30-Oct-2020,20.74,21.07,20.52,20.7,23400
BATRK,30-Oct-2020,20.63,20.87,20.23,20.47,112100
BBBY,30-Oct-2020,20.27,20.46,19.532,19.8,8628300
BBCP,30-Oct-2020,3.44,3.6,3.14,3.23,85000
BBGI,30-Oct-2020,1.24,1.268,1.2,1.21,55100
BBH,30-Oct-2020,154.09,154.09,150.52,152.3,14500
BBI,30-Oct-2020,0.51,0.5246,0.4978,0.5096,1485000
BBIO,30-Oct-2020,38.84,39.02,37.29,38.38,456900
BBQ,30-Oct-2020,4.22,4.63,4.01,4.2,20800
BBSI,30-Oct-2020,60.19,61.02,58.82,59.25,52200
BCBP,30-Oct-2020,9.31,9.35,9.07,9.09,40800
BCDA,30-Oct-2020,2.03,2.0702,1.93,1.99,65200
BCEL,30-Oct-2020,13.54,13.6619,13.12,13.36,115800
BCLI,30-Oct-2020,10.64,10.73,9.88,10.03,572400
BCML,30-Oct-2020,10.98,11.255,10.81,11.1,112000
BCOR,30-Oct-2020,10.27,10.47,9.88,9.95,445400
BCOV,30-Oct-2020,13.3,13.36,12.5,12.65,323000
BCOW,30-Oct-2020,9.35,9.35,9.2101,9.33,2500
BCPC,30-Oct-2020,99.85,100.07,98.39,99.95,92900
BCRX,30-Oct-2020,3.77,3.84,3.7,3.82,4327300
BCTG,30-Oct-2020,9.88,9.95,9.86,9.95,6600
BCYC,30-Oct-2020,18.37,18.59,17.85,18.51,44500
BDGE,30-Oct-2020,19.4,19.74,19.145,19.54,123400
BDSI,30-Oct-2020,3.11,3.17,3.05,3.16,610500
BDSX,30-Oct-2020,13.74,13.74,11.73,12.43,405200
BDTX,30-Oct-2020,31,31.53,30.2401,31.51,211300
BEAM,30-Oct-2020,36.19,36.59,33,34.17,721600
BEAT,30-Oct-2020,42.24,45.25,41.88,42.58,566600
BECN,30-Oct-2020,31.39,31.77,30.49,30.7,528500
BEEM,30-Oct-2020,16.22,16.37,15.5,16,202700
BEEMW,30-Oct-2020,10.11,10.11,9.2,9.7,6400
BELFA,30-Oct-2020,11.36,15.23,11.2,11.42,39800
BELFB,30-Oct-2020,11.46,12.23,11.4,11.71,116200
BFC,30-Oct-2020,64.18,64.43,63.785,64.01,6200
BFIN,30-Oct-2020,7.43,7.69,7.35,7.35,40300
BFIT,30-Oct-2020,22.14,22.14,21.58,21.63,8200
